"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Link","Abstract","Author Keywords","Index Keywords"
"Wilson M.L.","Wilson, Marisa L. (17344716400)","17344716400","Big Data, Data Science, and Analytics","2023","Clinical Analytics and Data Management for the DNP, Third Edition","","","","441","454","13","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85165374268&doi=10.1891%2f9780826163240.0023&partnerID=40&md5=27ae3289657afa65f88eb70675fb006f","Many important clinical questions cannot be answered by traditional analytical methods. Complex questions require sophisticated analytics that make use of data from many diverse sources woven into one inclusive set expressly for the purpose of answering complex questions. Answering these big questions requires use of big data, and this is a topic of conversation in science, informatics, practice, and policy. This chapter introduces big data, explains what it is and why it is important, and presents it as a source for metrics to evaluate practice, the impact of improvement efforts on targeted outcomes, and the health of the community. Big data and data science have taken on a new urgency in healthcare with the recent explosion of ubiquitous computing in medical facilities. The doctor of nursing practice (DNP) students are well suited to realize the full potential of big data for improving care delivery and ultimately patient outcomes. © 2024 Springer Publishing Company, LLC. All rights reserved.","",""
"","","","20th Americas Conference on Information Systems, AMCIS 2014","2014","20th Americas Conference on Information Systems, AMCIS 2014","","","","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84905994643&partnerID=40&md5=77f2851f6be7920fec94c025d7ba88e4","The proceedings contain 436 papers. The special focus in this conference is on Information Systems. The topics include: A classification of factors that impact the role of the CIO; a comparison of IT governance and control frameworks in cloud computing; a conceptual approach for optimizing distribution logistics using big data; a database-driven model for risk assessment; a framework for developing integrated supply chain information system; a maturity model and web application for environmental management benchmarking; a model of distributed agile team; a model of effective IT governance structures for developing economies; a multi-agent system for healthcare data privacy; a novel indexing method for improving timeliness of high-dimensional data; a systematic review of cloud computing, big data and databases on the cloud; a user satisfaction study of the London congestion charging e-service; achieving business goals with gamification; addressing levels issues in IS qualitative research; affect infusion in a computer based multitasking environment; alignment between business process governance and IT governance; an actor-network perspective on business process management; an agent-based system for medication adherence monitoring and patient care; an application of the knowledge management maturity model; an efficient stochastic update propagation method in data warehousing; an empirical study of consumer behavior in online pay-to-bid auctions; an empirical study of the gratifications of customer resonance on purchase intention; an explorative study of mobile apps in the enterprise; an information system framework and prototype for collaborative and standardized Chinese liquor production; an ontology-based record management systems approach for enhancing decision support; an organizational mining approach based on behavioral process patterns; applying emergent outcome controls to mitigate time pressure in agile software development; augmented reality and print communication; barriers to green IT service management; behavioural affect and cognitive effects of time-pressure and justification requirement in software acquisition; a holistic investigation into factors affecting social media utilisation in the workplace; beyond traditional IT-enabled innovation; a key capability for competitive advantage; BIS adoption determinants in SMEs; boundary spanning and the differentiated effects of IS project deviations; business continuity in network organizations - a literature review; business intelligence and analytics; start-ups in the text analytics software industry; categorising software contexts; causal model for predicting knowledge sharing via ICTs; changing boundaries in virtual (open) innovation work; an organizational learning approach; co-creation in branding through social commerce; communication privacy management in the digital age - effects of general and situational privacy concerns; communities of sentiment around man-made disasters; compensation of IT service management employees; conceptual review of formative assessment in virtual learning environment; conceptualizing business value of IT in healthcare to design sustainable e-health solutions; conditions for participation within synchronous online collaborative learning; consultant strategies and technological affordances; contextual preferences and network-based knowledge sharing in china; contingent role of knowledge self-efficacy distribution on diffusion of knowledge in peer-to-peer networks; data fusion-based decision support architecture for intensive care units; decreasing waiting times with human and equipment resources; design guidelines for a mobile app for wellbeing of emerging adults; designing a hybrid academic workshop; determinants of CIOs reporting relationship; determinants of it job occupations; developing a conceptual model for project knowledge management; developing an engaging IT degree; developing social capital in online communities; development of measurement instrument for sustainable agricultural management; drivers of information quality on blogs; communication preparedness using emergency description information technology; extent of use and overall performance mediated by routinization and infusion; educated people with disabilities in the ICT field; effectiveness and efficiency of blended learning - a literature review; effects of IT-culture conflict and user dissatisfaction on information security policy non-compliance; EHR adoption in healthcare practices; ensuring positive impact of data quality metadata; enterprise architecture as enabler of organizational agility - a municipality case study; enterprise SNS use and profile perceptions; enterprise system lifecycle-wide innovation; evaluating emotions in mobile application descriptions; evaluation of firm level technology usage in developing countries; examining intersubjectivity in social knowledge artifacts; examining the impact of emotions on trust in virtual teams; examining the role of legal climate on individual creativity in virtual worlds; experiential learning with an open-source enterprise system; exploring configurations of affordances; exploring the existence of network governance in the software as a service value network; exploring user satisfaction of the public e-services in the state of Qatar; factors related to social media adoption and use for emergency services operations; features for social CRM technology - an organizational perspective; financial incentives for medication adherence; from strategic to operational collaborations; a qualitative and quantitative analysis of scientific literature; icon design and game app adoption; ICT development and corruption; impact of electronic diabetes registry use on care and outcomes in primary care; impact of online customer reviews and incentives on the product sales at the online retail store; impacts of organizational behavior on it project teams; improving healthcare outreach to a vulnerable community group; improving knowledge-intensive business processes through social media; information security and insider threats in small medical practices; information security in value chains; information systems security training in organizations; recognizing ritualistic behavior by abstracting technical indicators from past cases; inspiring and cultivating female innovators through mobile app development; IT enabled agility in organizational ambidexterity; IT enablers for task organization and innovation support to drive team performance; IT-enabled intangibles and IT capabilities; joint effect of organizational identity and trust on ERP implementation success; critical factors for achieving smart grid value; market reaction to information technology investment announcements in Russian firms; method-based versus software-based design innovation; differences in environment-based voluntariness; news media sentiment of data breaches; online electronic thesis support system at maritime university; a pedagogical approach of promoting information security education; patterns of designer-user interactions in the design innovation process; personality type effects on online credit card payment utilization; personalized design of online communities; predicting fraud from quarterly conference calls; pricing quality attributes of internet domain names; protection motivation driven security learning; prudential risk management of IT sourcing strategies; real-time task attributes and temporal constraints; analyzing requirements cognition in multiple development paradigms; rethinking the concept of organizational readiness; role of justice in information system service recovery process; impression management as motivation to use social networks; seeking efficiency and productivity in health care; sentiment analysis method review in information systems research; smart sustainability through system satisfaction; bridging the gap between online social networks; social determinants of Facebook commerce acceptance; social media communication in European airlines; exploring content guidelines and policy using a grounded theory approach; the use of online social networks to support shopping-oriented decision making; software ecosystem orchestration; visibility feature designs increase tablet use; technology in practice in Brazilian judiciary; testing the group task demands-resources model among IT professionals; the antecedents and impacts of mobile technostress in the workplace; the combined effects of IT and HRM capabilities on competitive performance; the effects of salience, deterrence, and social influence on software piracy; towards a business model framework for E-learning companies; towards understanding and overcoming hurdles in PDMS projects in Germany; trends in the E-learning ecosystem; understanding usages and affordances of enterprise social networks; user interface design and the halo effect; using crowdsourcing tools for implementing open strategy; value proposition of agility in software development - an empirical investigation; virtual team performances in crowdsourcing contests; will insurance brokers use mobile insurance service platform and the antecedents and consequences.","",""
"Induja S.N.; Raji C.G.","Induja, S.N. (57211135352); Raji, C.G. (57190073926)","57211135352; 57190073926","Computational Methods for Predicting Chronic Disease in Healthcare Communities","2019","2019 International Conference on Data Science and Communication, IconDSC 2019","","","8817044","","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072768792&doi=10.1109%2fIconDSC.2019.8817044&partnerID=40&md5=56ae0727c714f0097d7d9414a46461f5","A computational model designed on the basis of big data analytics has a vast application in medical field. The chronic disease like cerebral stroke results in demises of large number of human lives in an unpredicted way. Hence it is very important to have a prediction model to reduce the impact of such issues. The accuracy of the prediction model is purely based on the potential to extract the unique valid features from the dataset used in prediction. In this analytical study, we collected both structured and unstructured data from National Stroke Mortality dataset. Ten-fold cross validation was performed to both training and test sets. We proposed three classifiers such as Naive Bayes, K-Nearest Neighbor and Decision tree to predict the risk of stroke. As it is a life saving problem, the outcome of the model was evaluated on the basis of various performance and performance error measures. In order to prove the accuracy of the models, we made comparison with existing works and reached to a result that the decision tree shows a better performance than other models. With the selection of real life dataset, we could achieve an accuracy of 99% and it is experimentally proved that decision tree is best for the prediction of risk in cerebral stroke. © 2019 IEEE.","accuracy; big data; classifier; risk prediction; stroke","Artificial life; Big data; Classifiers; Computational methods; Data Analytics; Decision trees; Diseases; Nearest neighbor search; accuracy; Analytical studies; Computational model; K-nearest neighbors; Performance error; Risk predictions; stroke; Unstructured data; Forecasting"
"Tamiziniyan G.; Keerthana A.","Tamiziniyan, G. (57712233500); Keerthana, A. (57209513199)","57712233500; 57209513199","Future of Healthcare: Biomedical Big Data Analysis and IoMT","2021","The Internet of Medical Things (IoMT): Healthcare Transformation","","","","247","267","20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135826799&doi=10.1002%2f9781119769200.ch13&partnerID=40&md5=2ef570c0dde37f4e41c6c3af5d213fed","Biomedical big data analysis is an advanced technique exploring a plethora of datasets for extracting useful diagnostic and therapeutic information. It assists biomedical researchers to develop new algorithms and prediction models. Advancements in big data will improve the quality of diagnosis and prophylaxis. Leveraging big data analysis will reduce the challenges in healthcare ecosystem. Integration of datasets can support the healthcare providers for better patient outcomes. Big data analysis has a huge impact in personalized medicine. Development of different biomedical data repositories for medical images, biosignals and biochemistry will strengthen medical data analysis. Data collection and storage over the cloud is getting attention as the usage of wearable sensor is becoming well accepted. Cloud storage can share the information across different healthcare systems and impart possibilities for big data analytics. Internet of Things (IoT) can be used in biomedical and health monitoring applications which comprises of various biosensors and medical devices that are connected to the network. This will produce enormous data for better diagnostics and therapeutics. Physiological data of patients can be acquired using smart sensors and data can be stored in the cloud using internet. This will radically change the diagnostic approach and provide better point of care. © 2022 Scrivener Publishing LLC.","Biomedical big data analysis; Biomedical data acquisition; Biomedical data management; Clustering algorithms; Internet of Things",""
"Nambiar U.; Thirumale N.","Nambiar, Ullas (6602629302); Thirumale, Niranjan (55953658700)","6602629302; 55953658700","International workshop on data management & analytics for healthcaRE (DARE 2013)","2013","International Conference on Information and Knowledge Management, Proceedings","","","","2565","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84889590487&doi=10.1145%2f2505515.2505820&partnerID=40&md5=af928238c4e5ff5c24657c6b6df2a457","Reducing healthcare costs and improving quality of outcomes is a challenge even in developed economies. Much information remains in paper form, lack common standards, sharing is uncommon and frequently hampered by the lack of foolproof de-identification for patient privacy. All of these issues impede opportunities for data mining and analysis that would enable better predictive and preventive medicine. These issues are compounded in emerging economies due to geopolitical constraints, transportation and geographic barriers, a much more limited clinical workforce, and infrastructural challenges to delivery. Thus, simple, high-impact deliverable interventions such as universal childhood immunization and maternal childcare are hampered by poor monitoring and reporting systems. This workshop is focused on identifying challenges to be overcome for effectively delivering efficient healthcare and to the masses. Specifically, we will provide a forum to discuss research directions, share experience and insights from both academia and industry. The anticipated outcome of the workshop is an assessment of the state of the art in the area, as well as identification of critical next steps to pursue in this topic. Copyright is held by the author/owner(s).","Analytics; Big data; Emerging markets; Healthcare","Knowledge management; Analytics; Big datum; Developed economies; Emerging economies; Emerging markets; Health care costs; International workshops; Preventive medicines; Health care"
"Gupta N.; Agrawal R.","Gupta, Neha (57189757459); Agrawal, Rashmi (55791754000)","57189757459; 55791754000","A study of graph analytics for massive datasets","2022","Demystifying Graph Data Science: Graph algorithms, analytics methods, platforms, databases, and use cases","","","","257","272","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85158961969&partnerID=40&md5=6c979f663cecde3f758e8052358d45ba","The analysis and research of data which can be altered into a comprehensive graph is referred to as “graph analytics.” Graph-based data analytics is a budding field in both data mining and data visualization and is applied for a wide variety of applications such as network protection, banking, and healthcare, both multidisciplinary and high impact applications [5]. Despite the fact that many methods have been developed in the past to analyze unstructured collections of multidimensional objects, graph analytic technologies are a recent trend that poses several challenges, not only in terms of the output of algorithms that are related to data mining that facilitate algorithmic computational data discovery [3]. Graph analytics primarily aimed to evaluate graph oriented structured data in order to uncover answers to queries (e.g. Identify the person who is the most prominent person in a community? What are the main technology nodes for better practice and decision-making on the internet and urban networks?) Analysis of graphs has always attracted and has always been an important topic for researchers in the history of computing; however, the rise of the uses of advanced analytics for large amounts of semi-structured or unstructured data and the revolution of big data has lately picked up the interest of the information systems community [1]. The qualitative effect of data, as well as the impact of graph analytics technology on organizations, has affected the requirements for business outcomes. Graph analytics for big data can not only recognize but also visualize crucial insights in big data. Furthermore, graph analytics may assist in identifying associations between different types of data and determining their existence and meaning within the context [2]. In this chapter, we will present the fundamentals of graph analytics and how graphs are related to big data. The chapter will also show some of the most common graph databases and discuss various big data graph analytics approaches which use the massive datasets, as well as different frameworks for each approach. In the latter part of the chapter, various issues and challenges related to big graph analytics will be addressed. A case study for implementation of graph analytics using python will also be discussed. © The Institution of Engineering and Technology 2022.","",""
"Wu J.; Li H.; Liu L.; Zheng H.","Wu, Jing (55814492800); Li, He (56608751200); Liu, Ling (56148370000); Zheng, Haichao (55477488600)","55814492800; 56608751200; 56148370000; 55477488600","Adoption of big data and analytics in mobile healthcare market: An economic perspective","2017","Electronic Commerce Research and Applications","22","","","24","41","17","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85014162905&doi=10.1016%2fj.elerap.2017.02.002&partnerID=40&md5=e349c8fb5d2a7295ce5a46678693afc9","This paper investigates the impact of big data and analytics (BDA) on health IT market competition as well as health IT provider's optimal BDA adoption decisions. To capture the specific characteristics of BDA in healthcare, we simultaneously model BDA's healthcare efficiency and privacy risk from consumer perspective and BDA's benefit and cost from provider perspective in a stylized two-dimensional product differentiation framework. The results indicate firm's optimal pricing strategies with the dynamic of BDA's efficiency and privacy risk. In addition, BDA's influence on firms’ outcomes and social welfare are analytically pointed. Theoretically, this study has potentials to provide foundations for future big data research by stylizing an analytical model to understand firm's BDA adoption. Practically, insights for business managers on how to optimize strategies of BDA adoption, and for social planners on how to conduct better policies to improve healthcare service quality by promoting BDA adoption in healthcare, are derived. © 2017","Big data and analytics; Efficiency; Healthcare; Privacy; Two-dimensional product differentiation; Wearable devices","Commerce; Competition; Data privacy; Efficiency; Health care; Adoption decision; Business managers; Economic perspective; Healthcare services; Market competition; Product differentiation; Social planners; Wearable devices; Big data"
"Kamble S.S.; Gunasekaran A.; Goswami M.; Manda J.","Kamble, Sachin S. (36864045000); Gunasekaran, Angappa (56238759300); Goswami, Milind (57209400383); Manda, Jaswant (57209395557)","36864045000; 56238759300; 57209400383; 57209395557","A systematic perspective on the applications of big data analytics in healthcare management","2019","International Journal of Healthcare Management","12","3","","226","240","14","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85067630032&doi=10.1080%2f20479700.2018.1531606&partnerID=40&md5=e49f4f22d55fba0a7667bad8c0ecf048","The exponential growth in the data collected in the form of electronic health records, registries, or wearable sensors has bought a big data revolution in the health industry. A large amount of information is required to be extracted from this substantially available data that provides numerous benefits such as improved quality of life, disease diagnosis, treatment and healthcare service delivery system. The big data generated in the healthcare is characterized by large volume, heterogeneity and speed. The other issues associated with the healthcare big data include non-uniform data, large number of variables, and need for real-time data analysis. In this paper, we examine the existing literature in all the databases within the ISI Web of Science with the purpose of reviewing the current research and develop a new agenda. Total 91 papers, classified in five research categories namely, general healthcare, clinical diagnosis and research, service delivery system, disease transmission and prevention, and health insurance were reviewed. Reviewing past work is focused on identifying areas where big data analytics (BDA) is being applied in healthcare management. The outcome of the review is a proposed framework on BDA capability and its impact on healthcare organization performance. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.","analytics; Big data analytics; blockchain; diagnosis; healthcare; insurance; service delivery",""
"Bakker L.; Aarts J.; Groot C.U.-D.; Redekop W.","Bakker, Lytske (57200544923); Aarts, Jos (7007174257); Groot, Carin Uyl-De (57220004740); Redekop, William (7003856662)","57200544923; 7007174257; 57220004740; 7003856662","Economic evaluations of big data analytics for clinical decision-making: A scoping review","2020","Journal of the American Medical Informatics Association","27","9","","1466","1475","9","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85091956717&doi=10.1093%2fjamia%2focaa102&partnerID=40&md5=7d59692f73c6afe58bb9249acd1763f4","Objective: Much has been invested in big data analytics to improve health and reduce costs. However, it is unknown whether these investments have achieved the desired goals. We performed a scoping review to determine the health and economic impact of big data analytics for clinical decision-making. Materials and Methods: We searched Medline, Embase, Web of Science and the National Health Services Economic Evaluations Database for relevant articles. We included peer-reviewed papers that report the health economic impact of analytics that assist clinical decision-making. We extracted the economic methods and estimated impact and also assessed the quality of the methods used. In addition, we estimated how many studies assessed “big data analytics” based on a broad definition of this term. Results: The search yielded 12 133 papers but only 71 studies fulfilled all eligibility criteria. Only a few papers were full economic evaluations; many were performed during development. Papers frequently reported savings for healthcare payers but only 20% also included costs of analytics. Twenty studies examined “big data analytics” and only 7 reported both cost-savings and better outcomes. Discussion: The promised potential of big data is not yet reflected in the literature, partly since only a few full and properly performed economic evaluations have been published. This and the lack of a clear definition of “big data” limit policy makers and healthcare professionals from determining which big data initiatives are worth implementing. © The Author(s) 2020.","Big data; Clinical decision-making; Cost-effectiveness; Data science; Economics","Big Data; Clinical Decision-Making; Cost Savings; Cost-Benefit Analysis; Data Science; Delivery of Health Care; Humans; Models, Economic; big data; clinical decision making; cost control; cost effectiveness analysis; data science; economics; Embase; human; Medline; national health service; outcome assessment; review; systematic review; Web of Science; cost benefit analysis; cost control; economic model; health care delivery"
"Godbole N.S.; Lamb J.","Godbole, Nina S. (55327185200); Lamb, John (57198151806)","55327185200; 57198151806","Research into Making Healthcare Green with Cloud, Green IT, and Data Science to Reduce Healthcare Costs and Combat Climate Change","2018","2018 9th IEEE Annual Ubiquitous Computing, Electronics and Mobile Communication Conference, UEMCON 2018","","","8796529","189","195","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85071537161&doi=10.1109%2fUEMCON.2018.8796529&partnerID=40&md5=fbbfe2fb7d6402870c85601740f20ae8","Making healthcare energy efficient and green is an excellent way to help solve the Climate Crisis. The UN Climate Agreement on reducing carbon emissions reached in Paris during December, 2015, along with all the recent critical climate events, help raise awareness to the urgent need to reduce electricity use through efficiency. Green Healthcare, Green Computing, and Green IT (Information Technology) are all excellent ways to reduce electricity use and save money doing it. Globally, the healthcare sector is growing in importance and plays a key role in world economics. The healthcare sector makes heavy use of technology including social media. Technological advances have revolutionized the healthcare industry worldwide - from modern testing techniques to improved surgical equipment, remote health monitoring technologies with the help of modern digital equipment, etc. There are many online healthcare portals. The complexity of the healthcare industry helps account for the large environmental footprint. A big challenge facing the healthcare sector is how best to improve the energy efficiency and sustainability of this very complex system. Efforts over the past few years to analyze and create highly efficient data centers presents an excellent opportunity for cost effective Green IT at hospitals. Given the complexity of the healthcare industry, there is a need for extensive use of data science, Big Data, and analytics as an ideal way to determine how green healthcare outcomes can be improved. Hospitals and healthcare in general can take significant steps in the green direction by combining big data analytics with cloud computing. This paper gives examples of how Data Science, Big Data, Analytics, and Cloud Technology can be used in healthcare to significantly improve a hospital's IT Energy Efficiency along with information on the best ways to improve energy efficiency for healthcare in a cost effective manner. © 2018 IEEE.","analytics; Big Data; carbon footprint; cloud computing; data science; Green IT; healthcare; HIT; mobile computing; protected health information","Big data; Carbon footprint; Climate change; Cloud computing; Cost effectiveness; Data Analytics; Data reduction; Data Science; Energy efficiency; Environmental impact; Health care; Hospitals; Medical computing; Mobile computing; Mobile telecommunication systems; Surgical equipment; Sustainable development; Ubiquitous computing; analytics; Cloud technologies; Environmental footprints; Healthcare industry; Healthcare sectors; Protected health informations; Remote health monitoring; Technological advances; Green computing"
