"","Dim 1","Dim 2"
"adoption",0.792917283648329,-0.140754833453878
"all",-0.407986795890515,-0.373517232015931
"also",-0.538849492497506,0.342452233067311
"analysis",-0.145804261130122,0.113668129740754
"analytics",-0.428279559408829,-0.0386896535179068
"application",0.299598982296816,-0.256645963976983
"applications",-0.412176771032019,-0.180474287496146
"approach",1.31579343281384,1.09921568661431
"based",0.210808795832351,0.290335622380039
"bda",1.17383213321351,-0.883405805822795
"been",-0.745850967748619,-0.00384415604464892
"better",-0.391291747415239,-0.0418546132978028
"big",-0.388104808564413,-0.227814812441032
"both",-0.42849237541825,0.304332435337803
"business",1.64268665970501,-0.291693365380108
"but",-0.404390790010331,0.223081674839552
"care",-0.182495300550775,0.240223450135829
"challenges",-0.418955190489141,0.280555436644152
"clinical",-0.267399717316443,0.7496417898957
"cloud",0.0363324192154673,-0.830425176337499
"complex",-0.49110910132533,-0.800715052067325
"cost",-0.116776413980153,-0.969534316457431
"data",-0.356971684489754,-0.0880984477023347
"data..1",-0.446000414532672,-0.737715121154749
"data.",-0.421292041327425,-0.0628896063893924
"decision",0.516848058476152,0.961143515257859
"design",1.34946024327649,0.573770938795454
"development",0.375791956008453,0.387266517259721
"different",-0.325850497907287,0.199803964914586
"disease",-0.502748216561043,0.350495439060827
"diseases",-0.411071212679806,0.471589703239832
"drug",-0.348235093271077,0.738040791729828
"economic",-0.77553904812231,0.206182302106015
"efficiency",0.584665167300667,-1.69039759263251
"electronic",0.209170703763898,0.0829706628097244
"energy",0.00212751130950267,-2.56975712851749
"factors",0.865991019880861,0.196408781843337
"for.",0.216781390531425,0.0333150021164155
"framework",0.708623477174179,-0.145184618735257
"graph",-1.18687251957981,-0.29412698352087
"green",0.200963629890419,-2.5241416828181
"health",-0.223604420019688,0.0245136434141368
"healthcare",-0.0919223917734249,-0.495782743036514
"how",0.0361552699214073,-1.12394484421694
"however.",-0.407940311481318,0.295538449086996
"impact",0.0749747887212052,0.130826327533579
"important",-0.373211586416624,-0.00195801201645582
"improve",-0.158849151297004,-0.857827480470122
"improving",0.112646184022137,0.0117749282119753
"information",0.672753938881103,-0.260201203379071
"its",-0.305482063933484,0.634564696588034
"knowledge",1.04218976659834,-0.043290354923871
"large",-0.515231114940541,0.248917591568303
"learning",0.466595023748059,0.54178001114698
"machine",-0.264014686604388,0.7011775955502
"management",0.90055021656183,0.011605434404955
"many",-0.681399078561352,-0.483505169930612
"medical",-0.22773391884742,0.145643694002409
"methods",-0.508018768359718,0.220233579236841
"model",0.878988725348115,0.704745158718028
"new",-0.415301468761824,-0.115770089392723
"not",-0.316113506378557,0.166751368400364
"online",2.27561676782824,-0.137875239350378
"only",-1.09268864455844,-0.111819589119547
"organizational",2.22313241478216,-0.208983001482752
"other",-0.0904276913507671,0.131785785757972
"our",0.0368744705221284,0.746566929644143
"outcomes",-0.16412669317325,-0.0926608458898391
"outcomes.",-0.390140417336741,0.297417411903517
"paper",-0.241993210597709,-0.703354708871553
"patient",-0.213486556421068,0.22633008541395
"patients",-0.199388901808414,0.963612445002729
"pediatric",-0.827482406249731,1.33154529159338
"performance",0.449032688622353,0.726874637115547
"potential",-0.344172872270091,0.582127474253665
"prediction",-0.259574209233734,0.781624101549883
"predictive",-0.169307858753231,0.924307218820222
"provide",-0.198513520093096,-0.265657283637527
"quality",0.220002424897509,0.115820473472189
"records",-0.243054303286408,0.855238551407424
"related",-0.248835179621453,0.00553445351072872
"research",-0.0597353554994214,0.0545964608032925
"review",0.322359046904422,0.618945574279972
"risk",0.818719773238106,1.06269529548844
"role",1.09013009567763,-0.210458713158782
"security",1.19411062836941,0.259681097898621
"service",0.86359095909548,0.024789997539974
"significantly",-0.0979236607323742,0.216894442966851
"social",1.37994620916252,0.0595936407638695
"software",1.86567106649236,0.137809852501747
"some",-0.435271919685585,0.241327656726351
"study",0.334084176793781,0.288097753263812
"such",-0.330706904752736,0.0985028114460469
"support",0.656763592552106,0.538048425183451
"system",0.792252300732789,-0.0612111933908951
"systems",0.397610488001039,-0.0678212331334534
"technologies",-0.237170747817839,-0.59362895030574
"technology",0.312416391774334,-1.10667934833429
"these",-0.553507391947574,0.200822649734685
"through",0.289679811448123,-0.0436770540167903
"treatment",-0.480136196968752,0.262347010132659
"used",-0.0753136100991584,0.154043175254205
"various",-0.313739519525686,0.165671473758438
"well",-0.429014408791857,0.177953294832395
"were",-0.337093345040031,0.74028878965969
"which",-0.327288812770383,0.0319161266302353
