"","Dim 1","Dim 2"
"adoption",0.155912167113347,0.00491304648862184
"all",0.0422763378074736,0.0354345097899214
"also",0.102329143237863,0.0413299030615361
"analysis",0.0100517207964857,0.0061091025099055
"analytics",0.132482030414394,0.00108116495981898
"application",0.0186355834979261,0.0136751218821743
"applications",0.0487567806808055,0.0093475687649859
"approach",0.143101894458044,0.0998701700080108
"based",0.0153086548027678,0.0290375669300708
"bda",0.0637714918122745,0.0361189475307276
"been",0.139160246613364,3.69669050195613e-06
"better",0.0271243820578974,0.000310345279227862
"big",0.184045413206891,0.0634148351521733
"both",0.0646116541789138,0.0325927605198427
"business",0.662823461505753,0.0208997703582565
"but",0.0459490968661764,0.0139830612674948
"care",0.0100593203329858,0.0174299470442989
"challenges",0.0479376238670791,0.0214970432750817
"clinical",0.0261449242868437,0.205481666254127
"cloud",0.0003291239249317,0.1719379859272
"complex",0.0344730068320932,0.0916387560699688
"cost",0.00362380203883375,0.249793174142125
"data",0.290210936400758,0.0176759494003268
"data..1",0.0688230446098081,0.188295840828615
"data.",0.0466282936248746,0.00103906033401505
"decision",0.0550571207563633,0.190398796044602
"design",0.456366814247721,0.0825032321922429
"development",0.0522664155055181,0.055506987431845
"different",0.0232423253230227,0.00873878394422193
"disease",0.0315196037050516,0.0153194937234263
"diseases",0.039725442947994,0.0522833309052003
"drug",0.00895478674815641,0.0402226713351337
"economic",0.0421173142732855,0.00297684416013799
"efficiency",0.063039184988125,0.526955424639381
"electronic",0.0127854218754713,0.0020116965287928
"energy",3.89428399547943e-07,0.568156558009555
"factors",0.283244060277823,0.0145698754249542
"for.",0.219554046957238,0.00518533884825973
"framework",0.0915387583654651,0.00384251136595467
"graph",0.0657333820687696,0.00403689605390043
"green",0.00355384181469529,0.560648438961119
"health",0.0260403797743683,0.000312969686139341
"healthcare",0.0120396652047914,0.350231005065675
"how",0.000412005672494108,0.39815298683342
"however.",0.0529906768491683,0.0278121267724009
"impact",0.00914052673350675,0.0278311417125744
"important",0.0258750033602124,7.12198220723861e-07
"improve",0.0122428841041901,0.357037514201993
"improving",0.00618384029204362,6.7568119520091e-05
"information",0.287844223077675,0.0430589684060503
"its",0.0165079017711292,0.0712315274761987
"knowledge",0.132560013293463,0.000228718462533651
"large",0.0775312313768526,0.0180960462503424
"learning",0.045320595192612,0.0611028341828587
"machine",0.00615245152255599,0.0433958389811331
"management",0.263366791654639,4.37389089647678e-05
"many",0.112382258350911,0.0565844261143271
"medical",0.0147273663980577,0.00602355698961917
"methods",0.0799267218265574,0.0150210247036572
"model",0.21818303436935,0.140255070466138
"new",0.0658804643347191,0.00511943996742536
"not",0.0291159272749475,0.00810183389322109
"online",0.71377564170193,0.00262020958808811
"only",0.108099489100717,0.0011320524943724
"organizational",0.492622346521492,0.0043531674309747
"other",0.00190347095903168,0.00404278373097694
"our",0.00019038589396096,0.0780406140714797
"outcomes",0.022265141421328,0.00709675055120809
"outcomes.",0.0530064668189015,0.0308048961361229
"paper",0.0105041608900835,0.0887368076714454
"patient",0.0194846883223729,0.0218996399038412
"patients",0.00408316813510758,0.0953674348343489
"pediatric",0.024341638603079,0.0630295431645736
"performance",0.0270015090698229,0.0707540251485889
"potential",0.0304895297216757,0.0872235276120377
"prediction",0.00917926416783468,0.0832301493900148
"predictive",0.00690525620477649,0.205806104376823
"provide",0.00561248061854323,0.0100512049512741
"quality",0.0346775713173759,0.00961090778169017
"records",0.0059711129079758,0.0739304232401808
"related",0.0113935568311281,5.63618514563062e-06
"research",0.00151335309816018,0.00126417252170257
"review",0.0221603127928417,0.0816960546892397
"risk",0.0758969457207684,0.127870762953702
"role",0.305833769253929,0.011398890960368
"security",0.213755498761442,0.0101090150961571
"service",0.221687424282666,0.000182674467768969
"significantly",0.00115264581084367,0.00565480255249839
"social",0.402199039809185,0.000750095484801345
"software",0.660576877558928,0.00360424040389909
"some",0.0280608298511645,0.00862568115718658
"study",0.05494975581103,0.0408633244929033
"such",0.043991188369985,0.00390280112434005
"support",0.167683329146128,0.112541960745199
"system",0.195193642942228,0.00116519964798906
"systems",0.0506360899633694,0.00147324801147798
"technologies",0.0191981495275096,0.120272757793955
"technology",0.0324737554696932,0.407482069309455
"these",0.119150587111668,0.0156846460455152
"through",0.0401339855853435,0.000912394183136474
"treatment",0.0575706925560956,0.017187978257235
"used",0.00128322639756462,0.00536835562449945
"various",0.0448424226231734,0.0125039170629986
"well",0.0624067683492301,0.0107374215445464
"were",0.0143105582785328,0.0690173952721139
"which",0.0500322845197224,0.000475782398353926
