Variable,WLS1,WLS2,WLS3
big,-0.095,0.695,-0.236
data,0.081,0.773,0.190
analytics,-0.003,0.448,-0.147
technology,0.547,0.509,-0.199
clinical,-0.052,-0.248,0.245
medical,0.061,-0.027,0.607
social,0.868,-0.013,-0.064
business,0.955,0.121,-0.086
management,0.898,0.043,0.364
security,0.727,-0.021,0.055
risk,0.376,-0.394,-0.247
fraud,0.989,0.026,0.025
decisions,-0.042,-0.037,-0.161
model,0.690,-0.403,-0.188
approach,0.716,-0.164,-0.148
patients,-0.016,-0.334,-0.123
disease,-0.027,-0.008,0.525
healthcare,0.070,0.351,-0.025
